id,title,first_artist,all_artists,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0oCT5rVvMdPPUm0bxG7yzT,I Can See Clearly Now,Johnny Nash,['Johnny Nash'],0.683,0.53,2,-8.542,1,0.41,7.43e-05,0.06,0.579,124.392,162653,4
6Xz7FeyE8HTP90HecgHV57,Wild World,Yusuf / Cat Stevens,['Yusuf / Cat Stevens'],0.484,0.508,0,-9.308,1,0.376,0.000791,0.0961,0.554,151.867,200173,4
0wtHjEAzLYYyGuk2WtpGwS,Easy,Commodores,['Commodores'],0.576,0.432,10,-13.642,0,0.233,0.00135,0.0743,0.348,132.144,260893,4
4Vn7TykT27PIygBiZjTR2s,Hotel California - 2013 Remaster,Eagles,['Eagles'],0.579,0.508,2,-9.484,1,0.00574,0.000494,0.0575,0.609,147.125,391376,4
3gdewACMIVMEWVbyb8O9sY,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,['Elton John'],0.601,0.532,10,-9.119,1,0.432,6.25e-06,0.0925,0.341,136.571,281613,4
2JoZzpdeP2G6Csfdq5aLXP,How Deep Is Your Love,Bee Gees,['Bee Gees'],0.633,0.357,5,-9.366,0,0.105,0.0,0.133,0.674,104.938,245200,4
18piene9mIdOJA2dura9LH,Ain't No Stoppin' Us Now - Single Version,McFadden & Whitehead,['McFadden & Whitehead'],0.721,0.743,1,-6.358,1,0.0835,0.0,0.135,0.867,112.504,217320,4
1k1Bqnv2R0uJXQN4u6LKYt,Ain't No Sunshine,Bill Withers,['Bill Withers'],0.527,0.415,4,-11.451,0,0.457,1.72e-05,0.117,0.515,78.169,125093,4
6zC0mpGYwbNTpk9SKwh08f,Wonderful Tonight,Eric Clapton,['Eric Clapton'],0.572,0.214,7,-15.625,1,0.649,0.129,0.125,0.485,95.542,225027,4
6rovOdp3HgK1DeAMYDzoA7,Maggie May,Rod Stewart,['Rod Stewart'],0.605,0.574,2,-10.536,1,0.559,0.113,0.0684,0.543,129.449,350267,4
2DnJjbjNTV9Nd5NOa1KGba,You're so Vain,Carly Simon,['Carly Simon'],0.659,0.678,0,-8.18,1,0.157,6.69e-06,0.0784,0.647,106.186,258411,4
7Ar4G7Ci11gpt6sfH9Cgz5,Listen to the Music,The Doobie Brothers,['The Doobie Brothers'],0.645,0.598,1,-13.18,0,0.221,3.53e-06,0.0721,0.913,105.929,227267,4
6XUHsYE38CEbYunT983O9G,Give A Little Bit,Supertramp,['Supertramp'],0.531,0.818,2,-5.358,1,0.0694,0.0096,0.263,0.471,90.767,248173,4
07GvNcU1WdyZJq3XxP0kZa,Go Your Own Way - 2004 Remaster,Fleetwood Mac,['Fleetwood Mac'],0.583,0.947,5,-5.12,1,0.0185,0.00109,0.0679,0.803,135.448,223613,4
064SVQsmWl5EF0zahmzkQk,Let Your Love Flow,The Bellamy Brothers,['The Bellamy Brothers'],0.679,0.553,3,-14.687,1,0.0611,7.16e-06,0.139,0.946,109.071,198760,4
2TVxnKdb3tqe1nhQWwwZCO,Tiny Dancer,Elton John,['Elton John'],0.414,0.428,0,-11.097,1,0.382,0.000243,0.148,0.282,145.075,377093,4
7MF7QAodbGzNYav5ZfIhAY,Midnight Train to Georgia,Gladys Knight & The Pips,['Gladys Knight & The Pips'],0.595,0.379,10,-12.058,0,0.271,2.81e-05,0.1,0.448,92.006,279333,4
6QhXQOpyYvbpdbyjgAqKdY,Cecilia,Simon & Garfunkel,['Simon & Garfunkel'],0.755,0.876,0,-8.867,1,0.357,5.17e-06,0.22,0.954,102.762,174827,4
4ZoBC5MhSEzuknIgAkBaoT,My Life,Billy Joel,['Billy Joel'],0.741,0.647,2,-12.878,1,0.108,0.00139,0.0555,0.804,131.097,284000,4
1fDsrQ23eTAVFElUMaf38X,American Pie,Don McLean,['Don McLean'],0.531,0.481,4,-11.709,0,0.699,0.0,0.0842,0.491,138.45,516893,4
0HdcunWW5FsRqKr3lwJOIo,Follow You Follow Me - Remastered 2007,Genesis,['Genesis'],0.531,0.747,7,-9.368,1,0.146,0.0722,0.07,0.761,93.559,240991,4
4nuPrKithHbRJXuA9spwu4,"December, 1963 (Oh, What a Night)",Frankie Valli & The Four Seasons,['Frankie Valli & The Four Seasons'],0.729,0.6,1,-9.527,1,0.0663,7.86e-06,0.0382,0.964,104.414,201093,4
683b4ikwa62JevCjwrmfg6,Moondance - 2013 Remaster,Van Morrison,['Van Morrison'],0.606,0.282,9,-12.207,0,0.501,8.3e-06,0.152,0.563,67.409,274040,4
6vZZtivPrtpggT5SSXsYTy,Solsbury Hill,Peter Gabriel,['Peter Gabriel'],0.678,0.631,11,-8.624,1,0.355,0.000268,0.376,0.463,102.378,261560,1
6yLIqXX9edg1x0HZS7cZEv,The Air That I Breathe - 2008 Remaster,The Hollies,['The Hollies'],0.279,0.473,4,-8.375,0,0.242,0.00164,0.158,0.246,167.792,257107,4
7HW5WIw7ZgZORCzUxv5gW5,Don't Go Breaking My Heart,Elton John,"['Elton John', 'Kiki Dee']",0.729,0.844,5,-8.824,1,0.149,2.87e-06,0.0604,0.777,131.459,275440,4
5RgFlk1fcClZd0Y4SGYhqH,She's Always a Woman,Billy Joel,['Billy Joel'],0.292,0.324,3,-11.996,1,0.797,0.000473,0.12,0.384,176.631,201373,3
6xdLJrVj4vIXwhuG8TMopk,Crazy Little Thing Called Love - Remastered 2011,Queen,['Queen'],0.599,0.761,0,-6.887,1,0.713,4.74e-06,0.349,0.712,77.015,163373,4
6l8EbYRtQMgKOyc1gcDHF9,Bridge Over Troubled Water,Simon & Garfunkel,['Simon & Garfunkel'],0.149,0.206,3,-13.888,1,0.822,0.000649,0.115,0.264,79.764,293120,4
6UkMcAA19lTdjs22jtB7o2,Big Yellow Taxi,Joni Mitchell,['Joni Mitchell'],0.611,0.47,4,-9.135,1,0.579,0.0,0.581,0.97,85.527,134800,4
4yugZvBYaoREkJKtbG08Qr,Take It Easy - 2013 Remaster,Eagles,['Eagles'],0.575,0.67,7,-10.39,1,0.343,4.95e-06,0.129,0.74,139.191,211578,4
46ou4l4zvrZMada0TgoVH9,"Knowing Me, Knowing You",ABBA,['ABBA'],0.55,0.741,2,-7.109,1,0.0426,3.72e-06,0.235,0.903,107.327,243893,4
38zsOOcu31XbbYj9BIPUF1,Your Song,Elton John,['Elton John'],0.554,0.315,3,-11.028,1,0.828,5.53e-06,0.101,0.325,128.157,241787,4
2yBVeksU2EtrPJbTu4ZslK,What a Fool Believes,The Doobie Brothers,['The Doobie Brothers'],0.758,0.378,8,-15.308,0,0.284,0.0,0.049,0.985,120.736,223867,4
49MHCPzvMLXhRjDantBMVH,Just the Way You Are,Billy Joel,['Billy Joel'],0.589,0.453,7,-8.912,1,0.703,2.54e-05,0.134,0.513,139.148,290573,4
6Qb7gtV6Q4MnUjSbkFcopl,50 Ways to Leave Your Lover,Paul Simon,['Paul Simon'],0.815,0.372,7,-12.814,1,0.166,0.000116,0.0767,0.293,101.684,217347,4
2hdNya0b6Cc2YJ8IyaQIWp,Livin' Thing,Electric Light Orchestra,['Electric Light Orchestra'],0.549,0.651,0,-7.097,1,0.583,0.0,0.121,0.368,122.818,212307,4
52VIdyKqp1pJRSyUQaxKUA,Everything I Own,Bread,['Bread'],0.365,0.338,2,-13.406,1,0.735,0.0,0.104,0.446,79.241,187000,4
4wOKTOwGVrie2GIbCMEe7U,I Am...I Said - Single Version,Neil Diamond,['Neil Diamond'],0.246,0.375,10,-14.409,1,0.141,4.97e-06,0.109,0.511,90.53,213200,4
1IqFh00G2kvvMm8pRMpehA,Me and Bobby McGee,Janis Joplin,['Janis Joplin'],0.43,0.463,2,-10.96,1,0.303,5.84e-05,0.152,0.66,93.405,271333,4
3LcYYV9ozePfgYYmXv0P3r,Fire and Rain,James Taylor,['James Taylor'],0.611,0.35,5,-14.48,1,0.499,7.84e-06,0.0844,0.36,76.064,200579,4
1BvJmtaXsqtH438BcDPeBb,Daniel,Elton John,['Elton John'],0.688,0.477,0,-11.945,1,0.38,4.93e-05,0.0864,0.897,132.071,234667,4
4etJ8NpS7YJ6vViV2UEJit,It's Too Late,Carole King,['Carole King'],0.698,0.446,9,-12.719,0,0.494,0.0054,0.177,0.788,104.265,233187,4
70C4NyhjD5OZUMzvWZ3njJ,Piano Man,Billy Joel,['Billy Joel'],0.331,0.55,0,-6.483,1,0.605,3.96e-06,0.192,0.429,177.734,339000,3
5qxFudz7A6PGptviHsz4Yd,Annie's Song,John Denver,['John Denver'],0.325,0.308,2,-11.503,1,0.92,0.00603,0.441,0.447,147.117,178267,3
4ULv5NMsxr6o7WLVk0fMSp,When You're In Love With A Beautiful Woman,Dr. Hook,['Dr. Hook'],0.7,0.586,9,-11.658,1,0.00544,0.00128,0.124,0.427,113.567,314960,4
5pkd9ib1RgbkAd1R9bIOCa,Cracklin' Rosie - Single Version,Neil Diamond,['Neil Diamond'],0.562,0.503,1,-14.836,1,0.319,0.0,0.163,0.846,127.827,179933,4
0n2pjCIMKwHSXoYfEbYMfX,You Are The Sunshine Of My Life,Stevie Wonder,['Stevie Wonder'],0.519,0.46,11,-14.53,1,0.823,5.97e-05,0.243,0.675,132.082,178200,4
76TZCvJ8GitQ2FA1q5dKu0,The Boxer,Simon & Garfunkel,['Simon & Garfunkel'],0.439,0.488,11,-14.464,1,0.702,0.000339,0.16,0.629,93.017,308520,4
5BckPAYcKEJuYs1eV1BHHe,Take A Chance On Me,ABBA,['ABBA'],0.684,0.675,11,-8.123,1,0.163,0.0,0.242,0.924,107.064,243933,4
6Rvlwah55rEmg1ufhBz022,Goodbye Yellow Brick Road - Remastered 2014,Elton John,['Elton John'],0.559,0.473,5,-7.712,1,0.446,0.00141,0.154,0.397,121.227,192827,4
0UAJH0k4k3slcE83a9UGCe,Lola,The Kinks,['The Kinks'],0.474,0.917,9,-4.19,1,0.582,0.231,0.201,0.902,152.113,241040,4
3lh3iiiJeiBXHSZw6u0kh6,Into the Mystic - 2013 Remaster,Van Morrison,['Van Morrison'],0.608,0.524,8,-10.266,1,0.367,0.00254,0.115,0.797,86.204,205613,4
1QEEqeFIZktqIpPI4jSVSF,More Than a Feeling,Boston,['Boston'],0.377,0.681,7,-8.039,1,0.00088,0.0023,0.0504,0.285,108.789,285133,4
6k5QsifpMWtY5ilnzBZ0u4,He Ain't Heavy He's My Brother - 1998 Remaster,The Hollies,['The Hollies'],0.304,0.421,7,-7.769,1,0.46,4.03e-05,0.163,0.216,75.928,262267,4
3uiMBldZ07pW0ySHDX5gzE,Silly Love Songs - Remastered 2014,Wings,['Wings'],0.742,0.471,0,-10.767,1,0.134,0.0903,0.284,0.815,124.95,354240,4
6WCeFNVAXUtNczb7lqLiZU,Crocodile Rock,Elton John,['Elton John'],0.621,0.8,4,-7.284,0,0.0263,1.51e-05,0.0591,0.968,149.91,235440,4
1K1nzhbKCNmrNXi9B07mPF,Forever In Blue Jeans,Neil Diamond,['Neil Diamond'],0.706,0.39,9,-13.673,1,0.0221,3.81e-05,0.0944,0.839,90.584,217533,4
7zMUCLm1TN9o9JlLISztxO,Burning Love,Elvis Presley,['Elvis Presley'],0.66,0.748,2,-11.206,1,0.0993,0.00585,0.283,0.972,143.549,170293,4
3TQOqBFEKUEab8CO1pi5A8,Afternoon Delight,Starland Vocal Band,['Starland Vocal Band'],0.491,0.439,5,-11.67,1,0.529,0.0,0.102,0.808,147.062,193040,4
6iXQrhhgBisdfvS34EMTZ3,Mandy,Barry Manilow,['Barry Manilow'],0.308,0.464,10,-9.032,1,0.418,2.49e-06,0.143,0.318,103.734,213333,4
4IU1RL4BKvFyXtbTwaHAvW,Ventura Highway,America,"['America', 'George Martin']",0.673,0.581,2,-10.205,1,0.223,0.000206,0.063,0.818,130.771,211387,4
6tunhVGD8C05MZNjSVIsjw,It Never Rains in Southern California,Albert Hammond,['Albert Hammond'],0.626,0.565,9,-10.027,1,0.124,0.0,0.0811,0.924,116.61,233507,4
0VNzEY1G4GLqcNx5qaaTl6,Vincent,Don McLean,['Don McLean'],0.419,0.085,7,-19.387,1,0.908,5.33e-06,0.34,0.458,91.509,243493,3
49RUdNvwSiUTC8fBh4KKoC,Nobody Does It Better,Marvin Hamlisch,"['Marvin Hamlisch', 'Carly Simon']",0.368,0.403,10,-12.699,1,0.703,7.66e-06,0.202,0.338,135.384,212667,4
1f4iVGDitHYMVBaoc9GXO2,Love Will Keep Us Together,Captain & Tennille,['Captain & Tennille'],0.681,0.484,4,-13.67,1,0.317,0.0,0.121,0.923,129.733,206800,4
1H4idkmruFoJBg1DvUv2tY,Band On The Run - Remastered 2010,Wings,['Wings'],0.479,0.601,7,-8.806,1,0.0832,0.00142,0.11,0.669,124.966,313027,4
6hTcuIQa0sxrrByu9wTD7s,Born to Run,Bruce Springsteen,['Bruce Springsteen'],0.27,0.944,4,-4.199,1,0.00501,2.05e-05,0.116,0.606,146.347,269920,4
714hERk9U1W8FMYkoC83CO,You Sexy Thing,Hot Chocolate,['Hot Chocolate'],0.791,0.733,5,-5.465,1,0.523,0.0016,0.167,0.962,105.853,244920,4
5Wj1rJnCLpMHdLaxsFtJLs,Bennie And The Jets - Remastered 2014,Elton John,['Elton John'],0.665,0.673,0,-7.95,1,0.259,7.62e-06,0.497,0.779,132.642,322549,4
4nXkbcTj3nyww1cHkw5RAP,Long Train Runnin',The Doobie Brothers,['The Doobie Brothers'],0.575,0.912,7,-7.275,0,0.0916,0.00211,0.0562,0.843,117.399,207267,4
0HOrDVS349XFcpCYsO2hAP,You Ain't Seen Nothing Yet,Bachman-Turner Overdrive,['Bachman-Turner Overdrive'],0.475,0.439,11,-15.039,0,0.000146,0.000277,0.223,0.76,118.392,234867,4
0KMGxYKeUzK9wc5DZCt3HT,If You Leave Me Now,Chicago,['Chicago'],0.434,0.563,11,-6.784,1,0.0197,0.000824,0.128,0.275,104.183,235373,4
0bRXwKfigvpKZUurwqAlEh,Lovely Day,Bill Withers,['Bill Withers'],0.692,0.651,9,-8.267,1,0.292,0.00241,0.105,0.706,97.923,254560,4
2kkvB3RNRzwjFdGhaUA0tz,Layla,Derek & The Dominos,['Derek & The Dominos'],0.404,0.902,1,-3.88,1,0.577,0.297,0.287,0.497,115.669,423840,4
3Bh6uInhcVBVvLraGZdkKD,Who'll Stop The Rain,Creedence Clearwater Revival,['Creedence Clearwater Revival'],0.598,0.797,7,-6.793,1,0.0424,0.000407,0.0717,0.622,123.566,147493,4
3M5eeHXgG4VplKNcsBC8Dj,"Signed, Sealed, Delivered (I'm Yours)",Stevie Wonder,['Stevie Wonder'],0.67,0.619,0,-10.365,0,0.0514,0.0,0.0492,0.807,108.826,160500,4
3BqqF8suAIzW8655yJfcvh,Morning Has Broken,Yusuf / Cat Stevens,['Yusuf / Cat Stevens'],0.424,0.321,7,-13.162,1,0.622,0.0196,0.0903,0.405,133.126,200000,3
1Ryxsiacu8pUXIMCVnIQ8J,Still The Same,Bob Seger,['Bob Seger'],0.709,0.767,0,-6.732,1,0.405,0.000172,0.0592,0.557,115.64,203547,4
4BM8yJ0PzBi2ZewpMTOxtx,Fernando,ABBA,['ABBA'],0.354,0.535,9,-8.876,1,0.627,2.9e-06,0.0808,0.434,110.821,252960,4
6H7nDglS6xWpRidbhMwI2L,Here You Come Again,Dolly Parton,['Dolly Parton'],0.585,0.511,1,-9.37,1,0.647,0.007,0.0392,0.552,105.898,179491,4
1JkZg3eMQTmTn93E8Yd3UL,I Want You to Want Me,Cheap Trick,['Cheap Trick'],0.806,0.462,2,-12.778,1,0.78,0.0134,0.15,0.736,92.726,191227,4
19Shlms2uTnOjIUg50TXzd,Never Going Back Again - 2004 Remaster,Fleetwood Mac,['Fleetwood Mac'],0.654,0.336,6,-12.825,1,0.858,0.385,0.0786,0.947,176.083,134400,4
4pNiE4LCVV74vfIBaUHm1b,Sir Duke,Stevie Wonder,['Stevie Wonder'],0.588,0.568,6,-9.766,1,0.16,0.0,0.0792,0.952,106.938,232760,4
4t0Pj3iBnSCZv5pDEPNmzG,"Jive Talkin' - From ""Saturday Night Fever"" Soundtrack",Bee Gees,['Bee Gees'],0.811,0.545,7,-12.969,0,0.155,0.0853,0.156,0.734,105.911,222267,4
3FGcQkWQlkeB82RdZwlw8V,Kiss You All Over,Exile,['Exile'],0.741,0.267,0,-17.204,1,0.253,0.000447,0.0987,0.497,102.428,214400,4
0UOxp1BpnD8uPQMKU4wKjz,I Shot The Sheriff,Eric Clapton,['Eric Clapton'],0.73,0.639,7,-11.025,0,0.0853,0.00221,0.102,0.658,94.395,263747,4
0w4s0d8Qtu0K8dyMcB2tw1,Rock the Boat,Hues Corporation,['Hues Corporation'],0.622,0.707,3,-8.826,1,0.0641,0.0,0.0638,0.725,107.352,188747,4
4N0TP4Rmj6QQezWV88ARNJ,Superstition,Stevie Wonder,['Stevie Wonder'],0.611,0.578,1,-14.171,1,0.0598,0.0219,0.0983,0.884,100.625,266133,4
2LawezPeJhN4AWuSB0GtAU,Have You Ever Seen The Rain,Creedence Clearwater Revival,['Creedence Clearwater Revival'],0.741,0.697,0,-7.028,1,0.0664,2.28e-05,0.133,0.774,116.109,160133,4
5uRkew0DtfAQmv0oEYNwFF,I Saw the Light - 2015 Remaster,Todd Rundgren,['Todd Rundgren'],0.504,0.673,0,-11.834,0,0.214,2.29e-06,0.171,0.581,120.418,180280,4
3M8FzayQWtkvOhqMn2V4T2,Lean on Me,Bill Withers,['Bill Withers'],0.619,0.22,0,-13.843,1,0.782,1.19e-05,0.124,0.426,75.143,258835,4
2Xb6wJYGi0QXwURw5WWvI5,Right Down the Line,Gerry Rafferty,['Gerry Rafferty'],0.783,0.322,0,-15.091,1,0.213,0.00243,0.114,0.77,128.226,267773,4
0LoQuiekvzqx7n8flgEKzF,Get It On,T. Rex,['T. Rex'],0.728,0.878,11,-6.926,0,0.176,0.856,0.61,0.911,126.59,262613,4
7JFoeg0arawADjGcz9gBnq,I Don't Like Mondays,The Boomtown Rats,['The Boomtown Rats'],0.464,0.46,11,-6.874,1,0.717,0.0,0.151,0.476,143.603,259093,4
6HSXNV0b4M4cLJ7ljgVVeh,Knockin' On Heaven's Door,Bob Dylan,['Bob Dylan'],0.513,0.396,7,-13.061,1,0.251,0.177,0.11,0.229,140.208,149880,4
