id,title,first_artist,all_artists,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
5ueyLj6e6oVaTY0KQ6yLaA,All Shook Up,Elvis Presley,['Elvis Presley'],0.624,0.468,10,-12.162,1,0.881,6.35e-06,0.144,0.952,74.139,117080,4
3aEJMh1cXKEjgh52claxQp,I've Got You Under My Skin - Remastered 1998,Frank Sinatra,['Frank Sinatra'],0.585,0.247,1,-12.612,1,0.452,8.85e-06,0.107,0.591,127.15,223760,4
307XEC1IUwUs9ojlEFwH7f,Smoke Gets In Your Eyes,The Platters,['The Platters'],0.29,0.227,3,-13.06,1,0.944,7.95e-05,0.617,0.224,114.278,157293,4
5yQ9iMZXGcr5rlO4hoLsP4,"What'd I Say, Pt. 1 & 2",Ray Charles,['Ray Charles'],0.54,0.681,4,-5.44,1,0.808,0.0,0.162,0.794,88.385,307053,4
3vFVS2WYHDG4KkWCNecvpn,Dream A Little Dream Of Me,Ella Fitzgerald,"['Ella Fitzgerald', 'Louis Armstrong']",0.455,0.167,0,-13.613,1,0.918,0.0,0.173,0.404,76.118,185067,4
50RwvvEKX5Q7AZt8FTAwIF,That'll Be The Day,Buddy Holly,['Buddy Holly'],0.536,0.637,2,-7.774,1,0.467,0.0,0.0838,0.798,115.24,150133,4
06PdA0DLgF4BfAeUNZAbFG,Blueberry Hill,Fats Domino,['Fats Domino'],0.489,0.499,11,-9.702,1,0.74,0.000236,0.156,0.829,133.341,147880,3
72nqbbrKjhXmDdRXQGq115,All I Have to Do Is Dream,The Everly Brothers,['The Everly Brothers'],0.542,0.347,4,-14.011,1,0.783,0.0,0.144,0.596,103.709,141240,4
01u6AEzGbGbQyYVdxajxqk,Don't Be Cruel,Elvis Presley,['Elvis Presley'],0.697,0.55,2,-11.496,1,0.856,3.44e-05,0.0907,0.844,84.802,122893,4
3E5ndyOfO6vFDEIE42HA8o,Mack the Knife,Bobby Darin,['Bobby Darin'],0.549,0.529,3,-12.291,0,0.76,0.0,0.206,0.464,82.755,184333,4
3BUQFs6aFWh7EFNmI8bfL7,Johnny B. Goode,Chuck Berry,['Chuck Berry'],0.516,0.798,10,-9.049,1,0.738,0.000128,0.305,0.969,168.195,161560,4
33aYzW5ToRjiFOzkubeJ8H,Rave On,Buddy Holly,['Buddy Holly'],0.566,0.711,0,-6.536,1,0.611,6.59e-06,0.417,0.961,159.629,109960,4
11fNLqDB47gMKj7BHhR2Qr,Wake up Little Susie,The Everly Brothers,['The Everly Brothers'],0.709,0.62,2,-9.382,1,0.318,0.0,0.0426,0.936,93.723,123520,4
79nJj5dMyTsUzKvN5jUXsJ,I Can't Stop Loving You,Ray Charles,['Ray Charles'],0.31,0.279,5,-13.552,1,0.815,0.0,0.318,0.377,79.397,256120,3
3YmELj8vHY6mKIzphgtQlM,Great Balls Of Fire,Jerry Lee Lewis,['Jerry Lee Lewis'],0.468,0.527,7,-13.897,0,0.554,0.0,0.061,0.855,159.501,116467,4
3x6wVKXfCm85Pw7gYo0rqq,That's Amore,Dean Martin,"['Dean Martin', 'Dick Stabile And His Orchestra']",0.407,0.17,10,-13.409,1,0.76,0.0,0.0737,0.577,124.047,188267,4
4ZfQwNx3FlCN07cnUvekh3,Ain't That A Shame,Fats Domino,['Fats Domino'],0.486,0.501,4,-8.57,1,0.767,7.6e-05,0.0679,0.942,122.894,152200,4
1ZWIQXfAquWtLDK5aOUczS,Summertime Blues,Eddie Cochran,['Eddie Cochran'],0.717,0.883,9,-8.686,0,0.125,0.167,0.176,0.942,156.299,119360,4
3KzgdYUlqV6TOG7JCmx2Wg,Beyond the Sea,Bobby Darin,['Bobby Darin'],0.521,0.516,2,-7.456,0,0.723,0.0,0.257,0.569,136.483,172480,4
14T8UhqU8EaJpp3tRxqJbr,Sea Of Love,Phil Phillips,['Phil Phillips'],0.289,0.353,7,-12.302,1,0.862,1.35e-06,0.172,0.312,85.436,144600,4
2OARIMw1hpehr86Iwmv04c,Peggy Sue,Buddy Holly,['Buddy Holly'],0.676,0.424,9,-8.132,1,0.947,0.000494,0.119,0.493,148.373,150960,4
1slMt4LizkO9dVcMZItJ1O,Jambalaya (On The Bayou),Fats Domino,['Fats Domino'],0.605,0.845,6,-8.672,0,0.819,0.000267,0.253,0.965,75.322,144067,4
1j7HyD3cxyYw9bMFevxWyR,Bye Bye Love,The Everly Brothers,['The Everly Brothers'],0.558,0.556,9,-8.358,1,0.684,0.0,0.0869,0.905,169.259,144300,4
4GAhAw0RCzNVP976NRMOqO,"Love Me Tender - From the 20th Century-Fox CinemaScope Production, ""Love Me Tender""",Elvis Presley,['Elvis Presley'],0.396,0.0373,9,-18.642,1,0.907,4.41e-05,0.111,0.302,103.051,161360,3
6wO13Xb3EdHUNixFOEJ0KV,Whole Lot of Shakin' Going On,Jerry Lee Lewis,['Jerry Lee Lewis'],0.377,0.626,0,-9.662,1,0.832,6.46e-05,0.188,0.678,161.468,172400,4
5wJXbK6be3OUwZHrqEuuaD,"Good Golly, Miss Molly",Little Richard,['Little Richard'],0.57,0.863,7,-10.82,1,0.581,0.00412,0.313,0.909,163.837,128640,4
2FkCjtQ1lYsf71s2FAS8hE,The Great Pretender,The Platters,['The Platters'],0.425,0.401,7,-9.427,1,0.943,3.44e-06,0.072,0.531,115.71,160667,3
7ljPNANyoIDc7sL0PWaJlu,True Love Ways,Buddy Holly,['Buddy Holly'],0.221,0.124,10,-19.545,1,0.8,0.103,0.316,0.276,82.727,168707,4
1KLpjQFgubHI3GkAICCNH3,Dream Lover,Bobby Darin,['Bobby Darin'],0.526,0.774,5,-1.692,1,0.715,0.0,0.437,0.715,131.715,150706,4
3mKdw0slI6wmnb1FBrvwn2,I Get A Kick Out Of You,Frank Sinatra,['Frank Sinatra'],0.395,0.375,5,-10.966,0,0.555,0.0,0.576,0.775,178.105,194093,4
7DH5dXVuQaqcKf9oTy9oUN,He'll Have to Go,Jim Reeves,['Jim Reeves'],0.554,0.186,1,-15.846,1,0.909,0.00144,0.11,0.2,81.181,138640,3
7t8Tzd9FqVz2asFMCL0HpZ,Tennessee Waltz,Patti Page,['Patti Page'],0.468,0.171,5,-10.905,1,0.957,3.74e-05,0.142,0.357,86.525,183573,3
